,ad,dataset,c_type,n_cell,cell_times,seq_depth,method,metric,evaluation,fig_path,hyper_para
148,path,human_pancreas_norm_complexBatch,alpha,5,0,1000,scgen,nmi,0.0,immunealpha_5_0_1000_50,50
149,path,human_pancreas_norm_complexBatch,alpha,5,0,1000,scgen,ari,0.0,immunealpha_5_0_1000_50,50
150,path,human_pancreas_norm_complexBatch,alpha,5,0,1000,scgen,pcr,0.3995593597765509,immunealpha_5_0_1000_100,100
151,path,human_pancreas_norm_complexBatch,alpha,5,0,1000,scgen,nmi,0.0,immunealpha_5_0_1000_100,100
152,path,human_pancreas_norm_complexBatch,alpha,5,0,1000,scgen,ari,0.0,immunealpha_5_0_1000_100,100
153,path,human_pancreas_norm_complexBatch,multiple,2,5,1000,scgen,pcr,0.9904123649833548,immunemultiple_2_5_1000_5,5
154,path,human_pancreas_norm_complexBatch,multiple,2,5,1000,scgen,nmi,0.0,immunemultiple_2_5_1000_5,5
155,path,human_pancreas_norm_complexBatch,multiple,2,5,1000,scgen,ari,0.0,immunemultiple_2_5_1000_5,5
156,path,human_pancreas_norm_complexBatch,multiple,2,5,1000,scgen,pcr,0.9902646829036041,immunemultiple_2_5_1000_50,50
157,path,human_pancreas_norm_complexBatch,multiple,2,5,1000,scgen,nmi,0.0,immunemultiple_2_5_1000_50,50
158,path,human_pancreas_norm_complexBatch,multiple,2,5,1000,scgen,ari,0.0,immunemultiple_2_5_1000_50,50
159,path,human_pancreas_norm_complexBatch,multiple,2,5,1000,scgen,pcr,1.0,immunemultiple_2_5_1000_100,100
160,path,human_pancreas_norm_complexBatch,multiple,2,5,1000,scgen,nmi,0.0,immunemultiple_2_5_1000_100,100
161,path,human_pancreas_norm_complexBatch,multiple,2,5,1000,scgen,ari,0.0,immunemultiple_2_5_1000_100,100
162,path,human_pancreas_norm_complexBatch,multiple,0,5,1000,scgen,pcr,0.9918951277921737,immunemultiple_0_5_1000_5,5
163,path,human_pancreas_norm_complexBatch,multiple,0,5,1000,scgen,nmi,0.0,immunemultiple_0_5_1000_5,5
164,path,human_pancreas_norm_complexBatch,multiple,0,5,1000,scgen,ari,0.0,immunemultiple_0_5_1000_5,5
165,path,human_pancreas_norm_complexBatch,multiple,0,5,1000,scgen,pcr,0.0,immunemultiple_0_5_1000_50,50
166,path,human_pancreas_norm_complexBatch,multiple,0,5,1000,scgen,nmi,0.0,immunemultiple_0_5_1000_50,50
167,path,human_pancreas_norm_complexBatch,multiple,0,5,1000,scgen,ari,0.0,immunemultiple_0_5_1000_50,50
168,path,human_pancreas_norm_complexBatch,multiple,0,5,1000,scgen,pcr,0.0,immunemultiple_0_5_1000_100,100
169,path,human_pancreas_norm_complexBatch,multiple,0,5,1000,scgen,nmi,0.0,immunemultiple_0_5_1000_100,100
170,path,human_pancreas_norm_complexBatch,multiple,0,5,1000,scgen,ari,0.0,immunemultiple_0_5_1000_100,100
171,path,human_pancreas_norm_complexBatch,multiple,0,2,1000,scgen,pcr,0.9996774534882774,immunemultiple_0_2_1000_5,5
172,path,human_pancreas_norm_complexBatch,multiple,0,2,1000,scgen,nmi,0.0,immunemultiple_0_2_1000_5,5
173,path,human_pancreas_norm_complexBatch,multiple,0,2,1000,scgen,ari,0.0,immunemultiple_0_2_1000_5,5
174,path,human_pancreas_norm_complexBatch,multiple,0,2,1000,scgen,pcr,0.0,immunemultiple_0_2_1000_50,50
175,path,human_pancreas_norm_complexBatch,multiple,0,2,1000,scgen,nmi,0.0,immunemultiple_0_2_1000_50,50
176,path,human_pancreas_norm_complexBatch,multiple,0,2,1000,scgen,ari,0.0,immunemultiple_0_2_1000_50,50
177,path,human_pancreas_norm_complexBatch,multiple,0,2,1000,scgen,pcr,1.0,immunemultiple_0_2_1000_100,100
178,path,human_pancreas_norm_complexBatch,multiple,0,2,1000,scgen,nmi,0.0,immunemultiple_0_2_1000_100,100
179,path,human_pancreas_norm_complexBatch,multiple,0,2,1000,scgen,ari,0.0,immunemultiple_0_2_1000_100,100
